year,make,model,odometer,sellingprice,transmission,color,interior
2011,Subaru,Forester,24679,16600,NA,red,gray
2011,Subaru,Impreza,44134,25500,NA,gray,black
2011,Subaru,Outback,24430,17100,automatic,gray,black
2011,Subaru,Outback,50987,17100,automatic,blue,gray
2011,Subaru,Outback,51754,14700,automatic,black,tan
2011,Subaru,Outback,148323,8400,automatic,red,gray
2011,Subaru,Legacy,35565,12800,NA,black,beige
2011,Subaru,Forester,36882,17750,NA,black,gray
2011,Subaru,Legacy,90255,11100,automatic,gray,black
2011,Subaru,Outback,51636,16000,NA,gray,black
2011,Subaru,Outback,64320,13200,automatic,blue,gray
2011,Subaru,Forester,60853,12900,automatic,white,gray
2011,Subaru,Outback,54028,14800,automatic,silver,black
2011,Subaru,Impreza,29102,10600,NA,gray,black
2011,Subaru,Forester,21944,18200,NA,silver,gray
2011,Subaru,Legacy,107362,8500,automatic,blue,gray
2011,Subaru,Forester,40561,14600,automatic,white,silver
2011,Subaru,Legacy,35801,14000,NA,silver,black
2011,Subaru,Legacy,31890,11000,NA,brown,beige
2011,Subaru,Outback,73844,14900,automatic,black,beige
2011,Subaru,Impreza,17398,13300,automatic,blue,gray
2011,Subaru,Impreza,56865,9200,automatic,silver,black
2011,Subaru,Impreza,32524,11600,NA,blue,black
2011,Subaru,Forester,42015,16600,automatic,blue,gray
2011,Subaru,Impreza,41824,25800,manual,black,black
2011,Subaru,Legacy,44406,13500,NA,white,gray
2011,Subaru,Forester,33505,17000,NA,red,gray
2011,Subaru,Legacy,38910,11600,manual,silver,black
2011,Subaru,Impreza,29341,27200,automatic,white,black
2011,Subaru,Forester,48838,16250,NA,red,gray
2011,Subaru,Forester,47159,15600,NA,silver,gray
2011,Subaru,Forester,17136,20000,NA,gray,gray
2011,Subaru,Legacy,27283,13100,NA,burgundy,black
2011,Subaru,Outback,108193,10900,automatic,gray,gray
2011,Subaru,Forester,30232,17300,NA,white,gray
2011,Subaru,Forester,46011,13400,NA,black,—
2011,Subaru,Forester,9319,16100,automatic,blue,black
2011,Subaru,Forester,41992,16750,NA,blue,gray
2011,Subaru,Legacy,36794,12900,manual,gray,black
2011,Subaru,Legacy,22374,17200,NA,red,black
2011,Subaru,Legacy,40376,10200,NA,brown,beige
2011,Subaru,Impreza,32274,14800,NA,silver,black
2011,Subaru,Impreza,28201,28750,manual,white,black
2011,Subaru,Outback,119801,10100,automatic,gray,black
2011,Subaru,Legacy,95766,10200,NA,—,gray
2011,Subaru,Forester,42672,13000,NA,green,gray
2011,Subaru,Forester,82692,14700,automatic,silver,black
2011,Subaru,Legacy,105014,9000,automatic,white,beige
2011,Subaru,Legacy,34330,12700,automatic,white,gray
2011,Subaru,Outback,36565,17000,NA,black,black
2011,Subaru,Forester,34943,17500,automatic,blue,black
2011,Subaru,Legacy,25032,14200,NA,black,beige
2011,Subaru,Legacy,57332,11800,automatic,gray,black
2011,Subaru,Legacy,30683,12200,NA,gray,black
2011,Subaru,Legacy,39013,15800,NA,black,beige
2011,Subaru,Forester,25804,14800,NA,white,gray
2011,Subaru,Legacy,41078,12400,automatic,blue,black
2011,Subaru,Outback,43412,16200,NA,—,black
2011,Subaru,Legacy,59215,14000,automatic,gray,—
2011,Subaru,Impreza,52784,12500,manual,blue,tan
2011,Subaru,Forester,95920,9500,automatic,silver,black
2011,Subaru,Forester,33271,16000,NA,gray,gray
2011,Subaru,Forester,30641,18000,NA,red,gray
2010,Subaru,Outback,67369,14800,automatic,blue,gray
2010,Subaru,Legacy,83238,6400,NA,gray,black
2010,Subaru,Impreza,50679,9500,manual,silver,black
2010,Subaru,Impreza,27751,27800,manual,black,black
2010,Subaru,Forester,155258,5400,automatic,white,gray
2010,Subaru,Impreza,76345,12500,NA,green,beige
2010,Subaru,Forester,39508,14900,automatic,gray,gray
2010,Subaru,Forester,100253,10000,automatic,blue,gray
2010,Subaru,Legacy,38861,11000,automatic,red,black
2010,Subaru,Impreza,47841,16700,manual,silver,black
2010,Subaru,Forester,210259,6200,automatic,black,gray
2010,Subaru,Impreza,58694,10100,automatic,red,black
2010,Subaru,Impreza,90199,7300,automatic,gray,gray
2010,Subaru,Forester,92761,11000,NA,blue,—
2010,Subaru,Legacy,117810,6400,NA,red,black
2010,Subaru,Outback,57529,14000,automatic,gold,gray
2009,Subaru,Forester,34194,13700,NA,red,—
2009,Subaru,Forester,93890,10100,NA,silver,—
2009,Subaru,Impreza,110127,5400,manual,blue,tan
2009,Subaru,Forester,136726,7400,automatic,gray,gray
2009,Subaru,Legacy,58659,3100,manual,black,black
2009,Subaru,Legacy,99846,6200,manual,gray,black
2009,Subaru,Forester,130556,5700,automatic,red,black
2009,Subaru,Forester,95248,9600,automatic,gray,beige
2009,Subaru,Impreza,106114,5600,manual,green,tan
2009,Subaru,Forester,124831,6200,automatic,white,beige
2009,Subaru,Impreza,95533,5200,manual,gray,black
2009,Subaru,Impreza,70588,5000,automatic,red,black
2009,Subaru,Forester,65556,9400,manual,white,—
2009,Subaru,Forester,64472,12300,automatic,black,black
2009,Subaru,Outback,98096,11400,automatic,blue,black
2009,Subaru,Outback,87372,12500,NA,white,beige
2009,Subaru,Outback,61910,12700,automatic,brown,tan
2009,Subaru,Outback,94847,9700,NA,blue,—
2008,Subaru,Impreza,126110,4200,automatic,gray,black
2008,Subaru,Impreza,120780,6200,NA,gray,black
2008,Subaru,Outback,100853,6950,automatic,gold,beige
2008,Subaru,Impreza,97885,6800,manual,silver,gray
2008,Subaru,Outback,101807,7200,automatic,gold,tan
2008,Subaru,Outback,101653,7200,automatic,gray,tan
2008,Subaru,Forester,132376,5100,automatic,red,beige
2008,Subaru,Impreza,85045,11200,manual,black,black
2008,Subaru,Impreza,100955,5100,automatic,silver,black
2008,Subaru,Outback,120671,7500,automatic,gold,—
2008,Subaru,Outback,118458,8700,automatic,gray,black
2007,Subaru,Outback,51547,11000,automatic,black,gray
2007,Subaru,Outback,176761,3050,automatic,gray,—
2007,Subaru,Outback,60126,5000,NA,blue,—
2007,Subaru,Impreza,116234,5300,automatic,gray,gray
2007,Subaru,Outback,71594,9500,NA,blue,—
2007,Subaru,Outback,101027,7100,automatic,gold,gray
2007,Subaru,Impreza,91802,5500,NA,black,—
2007,Subaru,Outback,104540,7000,automatic,blue,—
2006,Subaru,Impreza,160177,6500,manual,silver,—
2006,Subaru,Legacy,100553,5600,automatic,silver,gray
2006,Subaru,Outback,159634,3800,automatic,green,beige
2006,Subaru,Impreza,104370,5300,manual,silver,gray
2006,Subaru,Impreza,104712,5000,NA,gray,—
2006,Subaru,Outback,72747,9900,automatic,blue,black
2006,Subaru,Outback,182705,2400,automatic,blue,tan
2006,Subaru,Impreza,85855,10300,manual,silver,—
2006,Subaru,Outback,84031,8100,NA,silver,—
2006,Subaru,Impreza,116999,8100,manual,white,black
2005,Subaru,Legacy,148054,5500,automatic,black,beige
2005,Subaru,Outback,125362,6700,automatic,blue,black
2005,Subaru,Outback,197507,2400,automatic,silver,black
2005,Subaru,Legacy,121778,5000,automatic,blue,black
2005,Subaru,Legacy,113047,4500,NA,blue,—
2005,Subaru,Outback,197424,2200,manual,green,gray
2005,Subaru,Outback,111650,6300,automatic,beige,beige
2005,Subaru,Outback,1,2000,NA,gray,—
2005,Subaru,Outback,170978,4680,automatic,blue,—
2005,Subaru,Legacy,178702,3800,manual,black,gray
2005,Subaru,Outback,51384,11000,NA,beige,tan
2005,Subaru,Outback,123088,4700,automatic,gold,tan
2004,Subaru,Impreza,129305,5500,manual,blue,black
2004,Subaru,Outback,126865,5800,automatic,green,gray
2004,Subaru,Outback,108550,3850,automatic,white,tan
2004,Subaru,Outback,114934,3700,automatic,green,tan
2004,Subaru,Outback,150587,2300,automatic,red,tan
2003,Subaru,Legacy,135700,2200,automatic,green,—
2003,Subaru,Outback,147799,4800,automatic,green,—
2003,Subaru,Outback,114807,3400,automatic,red,tan
2003,Subaru,Legacy,122015,2700,automatic,green,gray
2003,Subaru,Legacy,210485,900,automatic,blue,gray
2003,Subaru,Outback,186048,1650,automatic,white,tan
2003,Subaru,Legacy,153444,2800,automatic,silver,black
2003,Subaru,Outback,102209,5400,automatic,silver,gray
2002,Subaru,Outback,190355,1000,NA,red,—
2002,Subaru,Outback,172268,850,automatic,green,tan
2002,Subaru,Forester,136567,2600,automatic,silver,—
2002,Subaru,Outback,114439,2850,automatic,white,—
2002,Subaru,Legacy,215185,600,manual,red,tan
2002,Subaru,Impreza,135961,2400,automatic,silver,gray
2002,Subaru,Outback,184009,3100,automatic,burgundy,tan
2001,Subaru,Forester,108154,2500,NA,silver,—
2001,Subaru,Forester,28815,4500,automatic,red,tan
2001,Subaru,Forester,133782,1800,manual,silver,gray
2001,Subaru,Forester,191502,950,automatic,beige,tan
2001,Subaru,Outback,134230,2800,NA,black,—
2000,Subaru,Outback,205079,550,NA,NA,NA
2000,Subaru,Outback,158808,500,NA,green,—
2000,Subaru,Impreza,175727,1200,automatic,blue,gray
1999,Subaru,Legacy,63892,650,NA,green,—
1999,Subaru,Impreza,108510,1000,NA,black,—
1998,Subaru,Legacy,128268,1100,manual,blue,black
1997,Subaru,Legacy,107264,1500,automatic,black,—
1995,Subaru,Legacy,154779,400,automatic,green,gray
1995,Subaru,Legacy,158757,800,automatic,white,gray
1995,Subaru,Legacy,199650,425,manual,green,green
2014,Subaru,Legacy,50699,15000,automatic,blue,gray
2014,Subaru,Outback,16797,24600,automatic,gray,black
2014,Subaru,Impreza,24253,17500,automatic,blue,black
2014,Subaru,Legacy,60518,16000,automatic,silver,gray
2014,Subaru,Legacy,39880,16100,automatic,white,beige
2014,Subaru,Legacy,80792,11700,automatic,silver,black
2014,Subaru,Impreza,9055,14000,automatic,gray,black
2014,Subaru,Impreza,21821,17600,automatic,gray,black
2014,Subaru,Legacy,75180,13500,automatic,blue,black
2014,Subaru,Legacy,52948,16300,automatic,gray,black
2014,Subaru,Forester,25381,21200,automatic,brown,black
2014,Subaru,Outback,25019,24300,automatic,blue,black
2014,Subaru,Impreza,23714,17500,automatic,red,black
2014,Subaru,Forester,1778,24300,automatic,blue,gray
2014,Subaru,Legacy,11538,21000,automatic,silver,black
2014,Subaru,Forester,55965,18250,automatic,red,beige
2014,Subaru,Legacy,73046,13500,automatic,silver,black
2014,Subaru,Forester,19647,24800,automatic,silver,black
2014,Subaru,Outback,25059,24300,automatic,beige,tan
2014,Subaru,Impreza,22672,18000,automatic,silver,black
2014,Subaru,Outback,22336,21300,automatic,gold,gray
2014,Subaru,Legacy,48694,15000,automatic,white,tan
2014,Subaru,Impreza,10375,17100,NA,black,beige
2014,Subaru,Legacy,24506,19400,automatic,—,black
2014,Subaru,Outback,24951,21600,automatic,gold,beige
2014,Subaru,Outback,25364,24500,automatic,blue,black
2014,Subaru,Legacy,67731,16200,automatic,white,gray
2014,Subaru,Legacy,66611,13700,automatic,blue,gray
2014,Subaru,Impreza,23353,17500,automatic,red,black
2014,Subaru,Forester,3576,25400,automatic,silver,beige
2014,Subaru,Forester,37842,19800,automatic,green,tan
2013,Subaru,Legacy,75730,11600,automatic,—,beige
2013,Subaru,Impreza,19420,10400,automatic,silver,black
2013,Subaru,Legacy,1164,18200,automatic,gray,black
2013,Subaru,Legacy,77379,11400,automatic,blue,tan
2013,Subaru,Impreza,19343,20000,automatic,white,beige
2013,Subaru,Legacy,50284,16500,automatic,blue,gray
2013,Subaru,Legacy,65064,11400,automatic,white,gray
2013,Subaru,Forester,22038,18000,manual,burgundy,black
2013,Subaru,Forester,22409,18700,automatic,black,black
2013,Subaru,Legacy,78789,9800,automatic,red,black
2013,Subaru,Outback,35761,19600,automatic,blue,black
2013,Subaru,Outback,35002,22400,automatic,brown,beige
2013,Subaru,Outback,57248,17200,automatic,blue,black
2013,Subaru,Outback,80994,14000,automatic,gray,black
2013,Subaru,Outback,7436,23600,NA,silver,black
2013,Subaru,Outback,35569,22600,automatic,white,beige
2013,Subaru,Legacy,4631,21600,NA,blue,black
2010,Subaru,Forester,86868,9000,manual,blue,gray
2010,Subaru,Impreza,70203,15000,manual,white,black
2010,Subaru,Forester,38015,15500,automatic,silver,black
2010,Subaru,Forester,95423,11800,automatic,gray,—
2010,Subaru,Forester,96217,11500,automatic,silver,black
2010,Subaru,Impreza,95160,6100,manual,orange,beige
2010,Subaru,Outback,53720,16900,automatic,black,tan
2009,Subaru,Legacy,107724,8000,automatic,red,gray
2009,Subaru,Outback,95828,10000,automatic,black,gray
2008,Subaru,Impreza,93756,10500,manual,black,black
2007,Subaru,Outback,120222,4900,automatic,silver,—
2007,Subaru,Outback,142170,3900,automatic,silver,gray
2002,Subaru,Outback,149424,800,automatic,green,—
2002,Subaru,Impreza,200426,400,automatic,black,gray
2001,Subaru,Forester,203453,1100,automatic,green,tan
2001,Subaru,Outback,209406,1500,NA,green,—
2001,Subaru,Outback,205278,425,automatic,black,black
1997,Subaru,Legacy,153034,700,automatic,green,gray
2014,Subaru,Forester,13701,22900,automatic,green,—
2014,Subaru,Forester,9802,23300,automatic,brown,black
2013,Subaru,Legacy,21860,16900,automatic,gray,black
2013,Subaru,Outback,21045,18200,NA,silver,black
2013,Subaru,Outback,89151,14400,manual,burgundy,—
2012,Subaru,Legacy,113860,8900,automatic,silver,—
2012,Subaru,Impreza,17413,16600,automatic,silver,—
2012,Subaru,Impreza,73843,10000,automatic,white,—
2011,Subaru,Legacy,110625,9000,automatic,gray,black
2011,Subaru,Forester,102762,9700,automatic,silver,gray
2011,Subaru,Impreza,49698,24000,manual,red,black
2011,Subaru,Impreza,53286,23250,manual,black,black
2011,Subaru,Impreza,28280,27000,manual,gray,black
2011,Subaru,Outback,134929,9100,automatic,silver,gray
2011,Subaru,Outback,33990,17800,automatic,silver,black
2011,Subaru,Outback,40449,17800,NA,black,beige
2011,Subaru,Legacy,41233,13500,automatic,silver,black
2011,Subaru,Forester,28438,18800,automatic,silver,gray
2011,Subaru,Forester,67200,14200,automatic,gray,gray
2011,Subaru,Impreza,48966,14100,automatic,silver,black
2011,Subaru,Outback,64391,18600,automatic,silver,black
2011,Subaru,Outback,60342,15300,automatic,black,beige
2011,Subaru,Impreza,42015,11700,automatic,blue,black
2011,Subaru,Forester,34311,16000,automatic,silver,black
2011,Subaru,Outback,38971,16600,automatic,gray,black
2011,Subaru,Outback,106967,12000,automatic,white,tan
2011,Subaru,Legacy,86970,3650,automatic,white,gray
2010,Subaru,Impreza,53548,8200,automatic,black,black
2010,Subaru,Forester,92035,10500,automatic,silver,black
2010,Subaru,Forester,25701,18250,automatic,turquoise,gray
2010,Subaru,Forester,111296,10400,automatic,silver,black
2009,Subaru,Forester,114795,7500,automatic,black,black
2009,Subaru,Forester,85861,9200,automatic,off-white,gray
2009,Subaru,Impreza,74693,6700,automatic,gray,black
2009,Subaru,Impreza,62491,14200,manual,silver,black
2009,Subaru,Legacy,152936,4400,automatic,silver,—
2009,Subaru,Forester,72869,9500,manual,gray,gray
2008,Subaru,Outback,96125,6600,NA,silver,black
2008,Subaru,Impreza,107520,11300,manual,blue,black
2008,Subaru,Outback,74578,7900,automatic,gray,black
2007,Subaru,Outback,92143,5200,automatic,green,gray
2007,Subaru,Impreza,143719,13900,manual,gray,black
2007,Subaru,Outback,100777,7000,manual,green,tan
2007,Subaru,Impreza,97655,4500,automatic,silver,gray
2007,Subaru,Outback,104749,5300,NA,gold,beige
2007,Subaru,Outback,167918,2600,automatic,gray,gray
2006,Subaru,Outback,115420,5200,automatic,black,black
2006,Subaru,Legacy,65295,8000,automatic,gray,tan
2006,Subaru,Outback,125348,5800,automatic,gray,black
2006,Subaru,Legacy,120402,3600,automatic,blue,beige
2006,Subaru,Impreza,69626,7700,manual,silver,black
2005,Subaru,Legacy,117623,4550,automatic,silver,black
2005,Subaru,Legacy,116830,3900,automatic,black,tan
2004,Subaru,Impreza,115853,13000,manual,black,black
2004,Subaru,Legacy,124142,1600,automatic,blue,gray
2003,Subaru,Legacy,167864,750,manual,green,black
2002,Subaru,Forester,184523,500,manual,green,tan
2002,Subaru,Forester,162783,450,automatic,silver,gray
2002,Subaru,Forester,148524,1900,NA,gold,gray
2001,Subaru,Forester,144181,1500,automatic,red,—
2014,Subaru,Forester,17967,19000,manual,black,gray
2014,Subaru,Forester,32200,20700,automatic,green,gray
2014,Subaru,Legacy,48329,17000,automatic,white,beige
2014,Subaru,Outback,18542,24500,automatic,blue,black
2014,Subaru,Outback,20971,21300,automatic,blue,black
2015,Subaru,Forester,2156,22800,automatic,white,gray
2013,Subaru,Impreza,20092,19750,automatic,silver,black
2013,Subaru,Forester,22976,18700,automatic,green,gray
2013,Subaru,Forester,80470,12700,automatic,white,gray
2013,Subaru,Forester,29181,13000,automatic,green,gray
2013,Subaru,Impreza,23242,10000,automatic,red,black
2013,Subaru,Outback,54416,23000,automatic,gray,black
2013,Subaru,Outback,84503,14500,automatic,white,tan
2013,Subaru,Legacy,38020,15000,automatic,burgundy,—
2013,Subaru,Outback,77532,16000,automatic,black,gray
2013,Subaru,Outback,32489,19600,manual,gray,—
2012,Subaru,Legacy,38990,12600,automatic,burgundy,black
2012,Subaru,Impreza,53965,13500,automatic,black,black
2012,Subaru,Legacy,57977,11900,automatic,gray,black
2012,Subaru,Legacy,77937,10900,NA,silver,black
2012,Subaru,Outback,85943,13600,automatic,blue,gray
2008,Subaru,Impreza,96419,5500,manual,gray,black
2007,Subaru,Legacy,60191,4100,automatic,white,beige
2002,Subaru,Forester,178859,1500,automatic,silver,—
2001,Subaru,Forester,229814,700,automatic,blue,gray
2013,Subaru,Impreza,90121,11100,automatic,silver,black
2012,Subaru,Impreza,16587,29600,manual,black,black
2012,Subaru,Legacy,64092,12500,automatic,blue,gray
2009,Subaru,Forester,123909,2700,manual,silver,—
2009,Subaru,Impreza,77216,16500,manual,white,black
2009,Subaru,Impreza,52484,14500,automatic,gray,black
2008,Subaru,Forester,99895,8200,automatic,gray,gray
2006,Subaru,Legacy,148537,2800,automatic,black,black
2006,Subaru,Impreza,104058,7400,automatic,green,beige
2004,Subaru,Outback,170745,2500,automatic,silver,black
2001,Subaru,Forester,117208,1100,automatic,white,gray
1996,Subaru,Legacy,70579,2300,automatic,red,brown
1995,Subaru,Legacy,105588,300,automatic,green,gray
2013,Subaru,Legacy,18130,12100,automatic,white,tan
2013,Subaru,Outback,41170,19100,automatic,red,black
2013,Subaru,Forester,62983,16500,automatic,silver,black
2013,Subaru,Outback,58400,20900,automatic,white,beige
2013,Subaru,Forester,91590,13100,automatic,silver,black
2013,Subaru,Legacy,41244,14300,automatic,white,tan
2013,Subaru,Legacy,37627,15200,automatic,red,beige
2013,Subaru,Outback,15704,21600,automatic,blue,black
2013,Subaru,Legacy,43234,14500,automatic,blue,gray
2013,Subaru,Legacy,41914,14300,automatic,silver,black
2013,Subaru,Outback,26191,21300,automatic,gray,black
2013,Subaru,Outback,81072,16400,automatic,—,black
2012,Subaru,Outback,79209,14300,automatic,blue,beige
2012,Subaru,Forester,33338,13800,automatic,white,gray
2012,Subaru,Outback,86077,13500,automatic,—,black
2012,Subaru,Legacy,82386,11100,automatic,silver,black
2012,Subaru,Forester,34602,17500,manual,black,black
2012,Subaru,Legacy,68093,11900,automatic,gray,black
2012,Subaru,Outback,80871,14600,automatic,—,black
2012,Subaru,Impreza,28443,17500,automatic,silver,black
2011,Subaru,Impreza,43259,27200,manual,blue,black
2011,Subaru,Legacy,40514,11500,automatic,gray,black
2010,Subaru,Outback,104127,10000,automatic,off-white,gray
2010,Subaru,Forester,176424,7400,automatic,orange,black
2012,Subaru,Outback,51421,18100,automatic,black,beige
2012,Subaru,Impreza,39235,17900,manual,white,gray
2012,Subaru,Forester,26589,19200,automatic,white,gray
2012,Subaru,Legacy,29387,16200,automatic,gray,black
2012,Subaru,Legacy,32095,14400,automatic,silver,gray
2012,Subaru,Legacy,22656,14000,automatic,blue,gray
2012,Subaru,Outback,38872,17400,automatic,green,beige
2011,Subaru,Impreza,39909,12200,automatic,silver,black
2011,Subaru,Forester,21566,18700,automatic,blue,black
2011,Subaru,Forester,39581,13800,automatic,white,gray
2011,Subaru,Impreza,35520,8400,automatic,black,black
2011,Subaru,Forester,54472,13500,automatic,blue,gray
2011,Subaru,Outback,23741,17500,automatic,blue,beige
2011,Subaru,Outback,184393,6300,NA,gray,black
2011,Subaru,Forester,54125,12300,automatic,red,gray
2010,Subaru,Forester,98335,7500,automatic,silver,black
2010,Subaru,Impreza,51373,7500,automatic,white,beige
2010,Subaru,Forester,94934,10900,automatic,white,gray
2009,Subaru,Legacy,76833,8800,automatic,silver,gray
2008,Subaru,Legacy,66813,14500,automatic,silver,black
2008,Subaru,Outback,89106,11600,automatic,gold,beige
2008,Subaru,Impreza,57029,9100,manual,gray,black
2007,Subaru,Impreza,159100,4500,automatic,blue,gray
2006,Subaru,Outback,31414,8900,automatic,black,black
2006,Subaru,Outback,197155,800,automatic,gray,tan
2006,Subaru,Impreza,136037,6700,manual,black,black
2006,Subaru,Impreza,107147,6600,manual,blue,gray
2005,Subaru,Outback,189195,3400,automatic,gray,beige
2005,Subaru,Impreza,157297,3500,manual,silver,gray
2005,Subaru,Impreza,62854,22100,manual,black,blue
2004,Subaru,Impreza,124988,12000,manual,blue,blue
2002,Subaru,Outback,152590,2000,automatic,white,brown
2000,Subaru,Legacy,188923,1900,automatic,white,gray
1999,Subaru,Legacy,221178,300,automatic,green,gray
1999,Subaru,Legacy,168191,1000,automatic,blue,black
1999,Subaru,Legacy,132161,2100,automatic,burgundy,gray
2014,Subaru,Forester,41363,20000,automatic,white,tan
2013,Subaru,Forester,26912,18400,automatic,green,gray
2013,Subaru,Legacy,21813,18000,automatic,blue,black
2011,Subaru,Impreza,62844,16700,manual,blue,black
2011,Subaru,Outback,99497,11700,automatic,red,tan
2011,Subaru,Legacy,84947,10300,automatic,—,black
2011,Subaru,Forester,27113,13700,manual,green,gray
2011,Subaru,Outback,82803,15400,NA,silver,black
2011,Subaru,Outback,22664,18500,NA,brown,tan
2011,Subaru,Forester,33857,18800,NA,red,gray
2010,Subaru,Impreza,45604,10700,automatic,gray,gray
2010,Subaru,Legacy,50895,10000,automatic,red,black
2009,Subaru,Outback,123643,8000,automatic,black,gray
2008,Subaru,Outback,66093,7000,automatic,gray,black
2007,Subaru,Outback,115656,7000,NA,silver,beige
2006,Subaru,Impreza,159131,3200,automatic,gray,gray
2005,Subaru,Outback,64182,8300,NA,silver,black
2004,Subaru,Outback,141915,3900,automatic,white,beige
2002,Subaru,Outback,195720,1100,automatic,green,beige
2014,Subaru,Legacy,10382,18400,automatic,red,black
2014,Subaru,Legacy,13349,21200,automatic,gray,black
2014,Subaru,Legacy,13027,21200,automatic,blue,black
2014,Subaru,Legacy,11647,18400,automatic,white,beige
2014,Subaru,Outback,13909,25500,automatic,blue,beige
2014,Subaru,Legacy,9921,21500,automatic,silver,beige
2014,Subaru,Impreza,12319,17000,automatic,white,beige
2014,Subaru,Impreza,21378,16400,automatic,gray,black
2014,Subaru,Legacy,9732,18500,automatic,red,black
2014,Subaru,Impreza,11670,18300,automatic,white,beige
2014,Subaru,Legacy,7697,18500,automatic,gray,black
2014,Subaru,Legacy,11173,18100,automatic,silver,beige
2014,Subaru,Legacy,15873,21100,automatic,gray,black
2014,Subaru,Legacy,9077,18500,automatic,gold,beige
2014,Subaru,Outback,8270,25900,automatic,gray,black
2014,Subaru,Legacy,10820,18400,automatic,silver,black
